lat,long,restriction_score,neighbourhood group,host_type,id
40.67456,-73.95151,2,Brooklyn,Individual,1229988
40.6755,-73.95878,1,Brooklyn,Individual,1231093
40.6858,-73.9828,1,Brooklyn,Individual,1232197
40.65749,-73.97675,1,Brooklyn,Individual,1237720
40.72831,-74.00177,2,Manhattan,Individual,1238825
40.79765,-73.96245,1,Manhattan,Individual,1239930
40.7102,-73.94495,1,Brooklyn,Professional,1242691
40.81156,-73.94571,1,Manhattan,Professional,1244348
40.7385,-73.91806,1,Queens,Professional,1245453
40.82426,-73.9463,2,Manhattan,Professional,1247110
40.71534,-73.95914,1,Brooklyn,Individual,1249319
40.74346,-73.99882,1,Manhattan,Individual,1252633
40.72351,-73.99683,5,Manhattan,Individual,1259260
40.74,-73.91901,1,Queens,Professional,1260917
40.67853,-73.98089,2,Brooklyn,Individual,1264231
40.77886,-73.98042,1,Manhattan,Individual,1265335
40.66085,-73.98537,1,Brooklyn,Individual,1266440
40.73476,-73.98452,1,Manhattan,Individual,1274725
40.79056,-73.9468,1,Manhattan,Individual,1282457
40.73631,-73.99977,1,Manhattan,Professional,1283009
40.86466,-73.85709,2,Bronx,Professional,1283561
40.71297,-73.94336,2,Brooklyn,Individual,1284666
40.68262,-73.97299,1,Brooklyn,Individual,1287427
40.76311,-73.99388,2,Manhattan,Individual,1288532
40.67497,-73.87305,1,Brooklyn,Individual,1289637
40.68967,-73.95445,1,Brooklyn,Individual,1291294
40.65513,-73.95641,1,Brooklyn,Professional,1296817
40.68897,-73.93569,1,Brooklyn,Individual,1298473
40.68497,-73.95592,1,Brooklyn,Individual,1301235
40.71137,-73.94362,1,Brooklyn,Individual,1302340
40.7694,-73.9572,2,Manhattan,Individual,1305101
40.68634,-73.96161,2,Brooklyn,Professional,1305653
40.7093,-73.9497,1,Brooklyn,Individual,1306206
40.713,-73.99752,1,Manhattan,Professional,1306758
40.75895,-73.9883,1,Manhattan,Individual,1307310
40.71413,-73.96596,2,Brooklyn,Individual,1310624
40.71973,-73.95582,2,Brooklyn,Individual,1311729
40.69025,-73.93323,1,Brooklyn,Professional,1312281
40.73049,-73.96115,2,Brooklyn,Professional,1313386
40.67688,-73.9859,1,Brooklyn,Individual,1315595
40.71712,-73.98898,1,Manhattan,Individual,1316699
40.60742,-74.14388,1,Staten Island,Individual,1317252
40.68275,-73.96148,1,Brooklyn,Professional,1321118
40.816,-73.95545,1,Manhattan,Individual,1322775
40.82748,-73.95153,1,Manhattan,Individual,1323327
40.72956,-73.99287,1,Manhattan,Individual,1324984
40.72595,-73.95298,1,Brooklyn,Individual,1325536
40.68012,-73.97847,1,Brooklyn,Professional,1326641
40.74233,-73.99865,1,Manhattan,Individual,1327193
40.68653,-73.98562,1,Brooklyn,Individual,1329402
40.68749,-73.95494,1,Brooklyn,Professional,1330507
40.68999,-73.96711,1,Brooklyn,Professional,1331611
40.61077,-74.06824,1,Staten Island,Individual,1332164
40.72416,-73.9853,1,Manhattan,Individual,1333821
40.67964,-73.93946,1,Brooklyn,Individual,1336030
40.69046,-73.95167,2,Brooklyn,Individual,1338239
40.83001,-73.92158,1,Bronx,Professional,1338791
40.79239,-73.94535,1,Manhattan,Professional,1339344
40.80903,-73.94197,1,Manhattan,Individual,1343762
40.75348,-73.97065,1,Manhattan,Individual,1345971
40.72264,-73.9837,4,Manhattan,Individual,1348180
40.67722,-73.96542,2,Brooklyn,Individual,1353151
40.68016,-73.94878,1,Brooklyn,Individual,1356465
40.70875,-73.95508,2,Brooklyn,Individual,1357017
40.85099,-73.92822,1,Manhattan,Individual,1363645
40.68707,-73.91918,1,Brooklyn,Professional,1364197
40.67495,-73.95563,4,Brooklyn,Individual,1365302
40.79493,-73.94462,1,Manhattan,Professional,1369720
40.73794,-73.95254,1,Brooklyn,Professional,1371929
40.79771,-73.96323,2,Manhattan,Individual,1373034
40.7373,-73.95323,1,Brooklyn,Professional,1374139
40.73708,-73.95271,1,Brooklyn,Professional,1374691
40.73693,-73.95316,1,Brooklyn,Professional,1375795
40.73784,-73.95324,1,Brooklyn,Professional,1376348
40.73674,-73.95247,1,Brooklyn,Professional,1376900
40.73783,-73.95259,2,Brooklyn,Professional,1377452
40.71408,-73.9489,2,Brooklyn,Professional,1385737
40.68618,-73.96144,1,Brooklyn,Individual,1386289
40.70554,-73.76637,1,Queens,Individual,1387394
40.59251,-74.06479,1,Staten Island,Professional,1389603
40.69142,-73.97203,1,Brooklyn,Professional,1391260
40.76928,-73.95021,1,Manhattan,Professional,1391812
40.72953,-74.00462,2,Manhattan,Individual,1392917
40.72059,-73.9567,1,Brooklyn,Individual,1398992
40.6711,-73.95231,2,Brooklyn,Individual,1401201
40.76217,-73.98411,1,Manhattan,Individual,1402306
40.68737,-73.97125,2,Brooklyn,Individual,1405620
40.73301,-74.00268,1,Manhattan,Professional,1422741
40.72868,-73.95835,2,Brooklyn,Professional,1428264
40.7928,-73.93967,1,Manhattan,Individual,1429921
40.68255,-73.91957,1,Brooklyn,Professional,1433235
40.6433,-73.97386,1,Brooklyn,Individual,1435996
